2020-11-12 15:36:18,156 [INFOR] MainProcess(5192):MainThread(13072) | main.InfoScan:28 - 当前域名:ichunqiu.com
2020-11-12 15:46:01,229 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.run:268 - 当前url:http://account.bilibili.com/
2020-11-12 15:46:01,256 [INFOR] MainProcess(17040):Thread-55 (16172) | jsfinder.run:268 - 当前url:http://tx-sh-live-comet-07.chat.bilibili.com/
2020-11-12 15:46:01,257 [INFOR] MainProcess(17040):Thread-35 (16972) | jsfinder.find_by_url:150 - url:http://beian.miit.gov.cn/
2020-11-12 15:46:01,419 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url_deep:228 - ALL Find 23 links
2020-11-12 15:46:01,420 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/
2020-11-12 15:46:01,422 [INFOR] MainProcess(17040):Thread-40 (16016) | jsfinder.run:268 - 当前url:https://campus.bilibili.com/
2020-11-12 15:46:01,460 [INFOR] MainProcess(17040):Thread-31 (12468) | jsfinder.run:268 - 当前url:http://tx-gz-live-comet-09.chat.bilibili.com/
2020-11-12 15:46:01,462 [INFOR] MainProcess(17040):Thread-58 (17052) | jsfinder.run:268 - 当前url:http://tx-sh-live-comet-12.chat.bilibili.com/
2020-11-12 15:46:01,468 [INFOR] MainProcess(17040):Thread-60 (15184) | jsfinder.run:268 - 当前url:http://tx-gz-live-comet-11.chat.bilibili.com/
2020-11-12 15:46:01,480 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.run:268 - 当前url:https://www.bilibili.com/
2020-11-12 15:46:01,524 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url_deep:228 - ALL Find 16 links
2020-11-12 15:46:01,528 [INFOR] MainProcess(17040):Thread-56 (15196) | jsfinder.run:268 - 当前url:http://ks-bj-live-comet-03.chat.bilibili.com/
2020-11-12 15:46:01,529 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/blackboard/live/activity-BLSniandugeshouh5.html
2020-11-12 15:46:01,530 [INFOR] MainProcess(17040):Thread-45 (17068) | jsfinder.run:268 - 当前url:http://tx-sh-live-comet-05.chat.bilibili.com/
2020-11-12 15:46:01,552 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.run:268 - 当前url:https://passport.bilibili.com/
2020-11-12 15:46:01,583 [INFOR] MainProcess(17040):Thread-41 (16836) | jsfinder.run:268 - 当前url:https://www.missevan.com/
2020-11-12 15:46:01,632 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url_deep:228 - ALL Find 10 links
2020-11-12 15:46:01,644 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:http://weibo.com/bilibiliapp
2020-11-12 15:46:01,679 [INFOR] MainProcess(17040):Thread-34 (11276) | jsfinder.run:268 - 当前url:http://tx-bj-live-comet-04.chat.bilibili.com/
2020-11-12 15:46:01,689 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.run:268 - 当前url:https://ir.bilibili.com/
2020-11-12 15:46:01,706 [INFOR] MainProcess(17040):Thread-38 (5192 ) | jsfinder.run:268 - 当前url:http://tx-bj-live-comet-07.chat.bilibili.com/
2020-11-12 15:46:01,713 [INFOR] MainProcess(17040):Thread-63 (10464) | jsfinder.run:268 - 当前url:http://tx-bj-live-comet-11.chat.bilibili.com/
2020-11-12 15:46:01,727 [INFOR] MainProcess(17040):Thread-39 (7408 ) | jsfinder.run:268 - 当前url:https://t.bilibili.com/
2020-11-12 15:46:01,823 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url_deep:228 - ALL Find 4 links
2020-11-12 15:46:01,824 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url:150 - url:https://search.bilibili.com/javascript:;
2020-11-12 15:46:01,827 [INFOR] MainProcess(17040):Thread-22 (10748) | jsfinder.run:268 - 当前url:http://tx-gz-live-comet-12.chat.bilibili.com/
2020-11-12 15:46:01,852 [INFOR] MainProcess(17040):Thread-69 (17416) | jsfinder.run:268 - 当前url:http://ks-bj-live-comet-04.chat.bilibili.com/
2020-11-12 15:46:01,963 [INFOR] MainProcess(17040):Thread-40 (16016) | jsfinder.run:268 - 当前url:http://tx-sh-live-comet-06.chat.bilibili.com/
2020-11-12 15:46:01,977 [INFOR] MainProcess(17040):Thread-33 (4256 ) | jsfinder.run:268 - 当前url:http://tx-bj-live-comet-03.chat.bilibili.com/
2020-11-12 15:46:01,990 [INFOR] MainProcess(17040):Thread-57 (9000 ) | jsfinder.run:268 - 当前url:http://ks-bj-live-comet-02.chat.bilibili.com/
2020-11-12 15:46:02,034 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:228 - ALL Find 36 links
2020-11-12 15:46:02,035 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/#main-menu
2020-11-12 15:46:02,041 [INFOR] MainProcess(17040):Thread-62 (7732 ) | jsfinder.run:268 - 当前url:https://h.bilibili.com/
2020-11-12 15:46:02,126 [INFOR] MainProcess(17040):Thread-67 (16580) | jsfinder.run:268 - 当前url:https://mall.bilibili.com/
2020-11-12 15:46:02,152 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url_deep:228 - ALL Find 17 links
2020-11-12 15:46:02,153 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:http://account.bilibili.com/#
2020-11-12 15:46:02,224 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url_deep:228 - ALL Find 17 links
2020-11-12 15:46:02,224 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url:150 - url:https://passport.bilibili.com/#
2020-11-12 15:46:02,682 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url_deep:228 - ALL Find 154 links
2020-11-12 15:46:02,683 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url:150 - url:https://www.bilibili.com
2020-11-12 15:46:03,270 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 36 | Find 36 URL in https://ir.bilibili.com/#main-menu
2020-11-12 15:46:03,271 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/
2020-11-12 15:46:03,847 [ALERT] MainProcess(17040):Thread-27 (15604) | jsfinder.find_by_url_deep:216 - Fail to access http://pictures.bilibili.com/
2020-11-12 15:46:03,879 [ALERT] MainProcess(17040):Thread-30 (16484) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-sh-live-comet-10.chat.bilibili.com/
2020-11-12 15:46:04,010 [ALERT] MainProcess(17040):Thread-46 (15716) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-gz-live-comet-01.chat.bilibili.com/
2020-11-12 15:46:04,018 [ALERT] MainProcess(17040):Thread-47 (3512 ) | jsfinder.find_by_url_deep:216 - Fail to access http://bbq.bilibili.com/
2020-11-12 15:46:04,022 [ALERT] MainProcess(17040):Thread-48 (15032) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-sh-live-comet-14.chat.bilibili.com/
2020-11-12 15:46:04,045 [ALERT] MainProcess(17040):Thread-49 (15848) | jsfinder.find_by_url_deep:216 - Fail to access https://game.bilibili.com/
2020-11-12 15:46:04,046 [ALERT] MainProcess(17040):Thread-50 (9168 ) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-bj-live-comet-12.chat.bilibili.com/
2020-11-12 15:46:04,049 [ALERT] MainProcess(17040):Thread-51 (16392) | jsfinder.find_by_url_deep:216 - Fail to access http://moe.bilibili.com/
2020-11-12 15:46:04,056 [ALERT] MainProcess(17040):Thread-52 (16380) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-gz-live-comet-10.chat.bilibili.com/
2020-11-12 15:46:04,061 [ALERT] MainProcess(17040):Thread-53 (5892 ) | jsfinder.find_by_url_deep:216 - Fail to access http://message.bilibili.com/
2020-11-12 15:46:04,140 [ALERT] MainProcess(17040):Thread-61 (14700) | jsfinder.find_by_url_deep:216 - Fail to access http://ks-bj-live-comet-09.chat.bilibili.com/
2020-11-12 15:46:04,229 [ALERT] MainProcess(17040):Thread-68 (17412) | jsfinder.find_by_url_deep:216 - Fail to access http://app-blue.bilibili.com/
2020-11-12 15:46:04,282 [ALERT] MainProcess(17040):Thread-55 (16172) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-sh-live-comet-07.chat.bilibili.com/
2020-11-12 15:46:04,288 [ALERT] MainProcess(17040):Thread-35 (16972) | jsfinder.find_by_url:155 - Fail to access http://beian.miit.gov.cn/
2020-11-12 15:46:04,289 [INFOR] MainProcess(17040):Thread-35 (16972) | jsfinder.giveresult:247 - Find 0 URL:
2020-11-12 15:46:04,290 [INFOR] MainProcess(17040):Thread-35 (16972) | jsfinder.giveresult:256 - 
Find 0 Subdomain:
2020-11-12 15:46:04,465 [ALERT] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:155 - Fail to access https://security.bilibili.com/
2020-11-12 15:46:04,466 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/create/
2020-11-12 15:46:04,490 [ALERT] MainProcess(17040):Thread-31 (12468) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-gz-live-comet-09.chat.bilibili.com/
2020-11-12 15:46:04,491 [ALERT] MainProcess(17040):Thread-58 (17052) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-sh-live-comet-12.chat.bilibili.com/
2020-11-12 15:46:04,571 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url_deep:234 - Remaining 4 | Find 190 URL in https://search.bilibili.com/javascript:;
2020-11-12 15:46:04,571 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url:150 - url:https://bangumi.bilibili.com/22/
2020-11-12 15:46:04,588 [ALERT] MainProcess(17040):Thread-45 (17068) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-sh-live-comet-05.chat.bilibili.com/
2020-11-12 15:46:04,645 [ALERT] MainProcess(17040):Thread-41 (16836) | jsfinder.find_by_url_deep:216 - Fail to access https://www.missevan.com/
2020-11-12 15:46:04,684 [ALERT] MainProcess(17040):Thread-34 (11276) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-bj-live-comet-04.chat.bilibili.com/
2020-11-12 15:46:04,715 [ALERT] MainProcess(17040):Thread-38 (5192 ) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-bj-live-comet-07.chat.bilibili.com/
2020-11-12 15:46:04,972 [ALERT] MainProcess(17040):Thread-40 (16016) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-sh-live-comet-06.chat.bilibili.com/
2020-11-12 15:46:04,982 [ALERT] MainProcess(17040):Thread-33 (4256 ) | jsfinder.find_by_url_deep:216 - Fail to access http://tx-bj-live-comet-03.chat.bilibili.com/
2020-11-12 15:46:05,036 [ALERT] MainProcess(17040):Thread-57 (9000 ) | jsfinder.find_by_url_deep:216 - Fail to access http://ks-bj-live-comet-02.chat.bilibili.com/
2020-11-12 15:46:05,348 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 35 | Find 36 URL in https://ir.bilibili.com/
2020-11-12 15:46:05,349 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/company-profile
2020-11-12 15:46:05,495 [ALERT] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:155 - Fail to access http://weibo.com/bilibiliapp
2020-11-12 15:46:05,497 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:http://weibo.com/bilibiliweb
2020-11-12 15:46:05,628 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url_deep:234 - Remaining 17 | Find 185 URL in http://account.bilibili.com/#
2020-11-12 15:46:05,631 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/home
2020-11-12 15:46:06,883 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 34 | Find 36 URL in https://ir.bilibili.com/company-profile
2020-11-12 15:46:06,887 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/corporate-governance/highlights
2020-11-12 15:46:07,120 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url_deep:234 - Remaining 17 | Find 185 URL in https://passport.bilibili.com/#
2020-11-12 15:46:07,121 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/home
2020-11-12 15:46:08,469 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url_deep:234 - Remaining 154 | Find 250 URL in https://www.bilibili.com
2020-11-12 15:46:08,471 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/anime/
2020-11-12 15:46:08,566 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url_deep:234 - Remaining 16 | Find 47 URL in https://www.bilibili.com/blackboard/live/activity-BLSniandugeshouh5.html
2020-11-12 15:46:08,568 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/blackboard/dynamic/4989
2020-11-12 15:46:09,009 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 33 | Find 36 URL in https://ir.bilibili.com/corporate-governance/highlights
2020-11-12 15:46:09,011 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/corporate-governance/management
2020-11-12 15:46:09,104 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url_deep:234 - Remaining 23 | Find 26 URL in https://security.bilibili.com/create/
2020-11-12 15:46:09,105 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/thanks/
2020-11-12 15:46:09,236 [ALERT] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:155 - Fail to access http://weibo.com/bilibiliweb
2020-11-12 15:46:09,238 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:http://dl.hdslb.com/mobile/latest/iBiliPlayer-bili.apk
2020-11-12 15:46:10,057 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url_deep:234 - Remaining 16 | Find 276 URL in https://account.bilibili.com/account/home
2020-11-12 15:46:10,059 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/big
2020-11-12 15:46:10,681 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 32 | Find 36 URL in https://ir.bilibili.com/corporate-governance/management
2020-11-12 15:46:10,682 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/corporate-governance/board-of-directors
2020-11-12 15:46:11,264 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url_deep:234 - Remaining 16 | Find 276 URL in https://account.bilibili.com/account/home
2020-11-12 15:46:11,281 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/big
2020-11-12 15:46:11,933 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 31 | Find 36 URL in https://ir.bilibili.com/corporate-governance/board-of-directors
2020-11-12 15:46:11,934 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/stock-information/stock-quote
2020-11-12 15:46:15,198 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url_deep:234 - Remaining 3 | Find 225 URL in https://bangumi.bilibili.com/22/
2020-11-12 15:46:15,200 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/topic/integrated-1.html
2020-11-12 15:46:15,735 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url_deep:234 - Remaining 15 | Find 2 URL in https://www.bilibili.com/blackboard/dynamic/4989
2020-11-12 15:46:15,736 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/blackboard/dynamic/4697
2020-11-12 15:46:16,252 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url_deep:234 - Remaining 153 | Find 225 URL in https://www.bilibili.com/anime/
2020-11-12 15:46:16,253 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url:150 - url:https://game.bilibili.com
2020-11-12 15:46:16,394 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url_deep:234 - Remaining 22 | Find 0 URL in https://security.bilibili.com/thanks/
2020-11-12 15:46:16,395 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/gift/?price=0
2020-11-12 15:46:17,080 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 30 | Find 36 URL in https://ir.bilibili.com/stock-information/stock-quote
2020-11-12 15:46:17,081 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/stock-information/historical-price-lookup
2020-11-12 15:46:18,755 [ALERT] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:155 - Fail to access https://www.bilibili.com/blackboard/dynamic/4697
2020-11-12 15:46:18,756 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://live.bilibili.com/activity/live-activity-grand/bls-2020/pc.html#/
2020-11-12 15:46:19,530 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url_deep:234 - Remaining 15 | Find 276 URL in https://account.bilibili.com/account/big
2020-11-12 15:46:19,531 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/points
2020-11-12 15:46:21,007 [ALERT] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:155 - Fail to access https://ir.bilibili.com/stock-information/historical-price-lookup
2020-11-12 15:46:21,012 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/stock-information/investment-calculator
2020-11-12 15:46:21,523 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url_deep:234 - Remaining 10 | Find 0 URL in http://dl.hdslb.com/mobile/latest/iBiliPlayer-bili.apk
2020-11-12 15:46:21,524 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:http://dl.hdslb.com/mobile/latest/android_b/iBiliPlayer-bilibili.apk
2020-11-12 15:46:21,877 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url_deep:234 - Remaining 15 | Find 256 URL in https://account.bilibili.com/account/big
2020-11-12 15:46:21,880 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/points
2020-11-12 15:46:24,204 [ALERT] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:155 - Fail to access https://ir.bilibili.com/stock-information/investment-calculator
2020-11-12 15:46:24,204 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/news-releases
2020-11-12 15:46:24,909 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url_deep:234 - Remaining 21 | Find 0 URL in https://security.bilibili.com/gift/?price=0
2020-11-12 15:46:24,909 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/announcement/?price=0
2020-11-12 15:46:27,926 [ALERT] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:155 - Fail to access https://security.bilibili.com/announcement/?price=0
2020-11-12 15:46:27,926 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/announcement/8/
2020-11-12 15:46:28,506 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 29 | Find 36 URL in https://ir.bilibili.com/news-releases
2020-11-12 15:46:28,506 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/event-calendar
2020-11-12 15:46:28,636 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url_deep:234 - Remaining 14 | Find 0 URL in https://live.bilibili.com/activity/live-activity-grand/bls-2020/pc.html#/
2020-11-12 15:46:28,637 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/blackboard/dynamic/4938
2020-11-12 15:46:31,383 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url_deep:234 - Remaining 9 | Find 0 URL in http://dl.hdslb.com/mobile/latest/android_b/iBiliPlayer-bilibili.apk
2020-11-12 15:46:31,388 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:https://itunes.apple.com/cn/app/bi-li-bi-li-dong-hua/id736536022
2020-11-12 15:46:31,527 [ALERT] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:155 - Fail to access https://ir.bilibili.com/event-calendar
2020-11-12 15:46:31,759 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url_deep:234 - Remaining 2 | Find 1 URL in https://www.bilibili.com/topic/integrated-1.html
2020-11-12 15:46:32,700 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url_deep:234 - Remaining 152 | Find 191 URL in https://game.bilibili.com
2020-11-12 15:46:33,176 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url_deep:234 - Remaining 14 | Find 92 URL in https://account.bilibili.com/account/points
2020-11-12 15:46:34,458 [ALERT] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:155 - Fail to access https://itunes.apple.com/cn/app/bi-li-bi-li-dong-hua/id736536022
2020-11-12 15:46:34,736 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url_deep:234 - Remaining 20 | Find 0 URL in https://security.bilibili.com/announcement/8/
2020-11-12 15:46:37,173 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/webcasts-presentations
2020-11-12 15:46:37,179 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url:150 - url:https://www.bilibili.com/ranking
2020-11-12 15:46:37,185 [INFOR] MainProcess(17040):Thread-54 (17028) | jsfinder.find_by_url:150 - url:https://live.bilibili.com
2020-11-12 15:46:37,190 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/setting
2020-11-12 15:46:37,194 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:https://itunes.apple.com/cn/app/id1204090346
2020-11-12 15:46:37,198 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/checklogin/
2020-11-12 15:46:39,291 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url_deep:234 - Remaining 13 | Find 21 URL in https://www.bilibili.com/blackboard/dynamic/4938
2020-11-12 15:46:39,292 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://link.bilibili.com/p/eden/news#/?tab=live
2020-11-12 15:46:40,252 [ALERT] MainProcess(17040):Thread-64 (8560 ) | jsfinder.find_by_url:155 - Fail to access https://www.bilibili.com/ranking
2020-11-12 15:46:40,253 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.giveresult:247 - Find 229 URL:
2020-11-12 15:46:40,308 [ALERT] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:155 - Fail to access https://account.bilibili.com/account/setting
2020-11-12 15:46:40,309 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/face
2020-11-12 15:46:40,341 [ALERT] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:155 - Fail to access https://security.bilibili.com/checklogin/
2020-11-12 15:46:40,343 [INFOR] MainProcess(17040):Thread-42 (4100 ) | jsfinder.find_by_url:150 - url:https://security.bilibili.com/profile/27531/
2020-11-12 15:46:40,515 [INFOR] MainProcess(17040):Thread-64 (8560 ) | jsfinder.giveresult:256 - 
Find 30 Subdomain:
2020-11-12 15:46:40,883 [ALERT] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:155 - Fail to access https://itunes.apple.com/cn/app/id1204090346
2020-11-12 15:46:40,885 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url:150 - url:https://www.microsoft.com/zh-cn/p/哔哩哔哩动画-for-wp81/9wzdncrfj28k?activetab=pivot:overviewtab
2020-11-12 15:46:41,465 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url_deep:234 - Remaining 28 | Find 0 URL in https://ir.bilibili.com/webcasts-presentations
2020-11-12 15:46:41,466 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/financial-information/sec-filings
2020-11-12 15:46:41,956 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url_deep:234 - Remaining 14 | Find 69 URL in https://account.bilibili.com/account/points
2020-11-12 15:46:41,958 [INFOR] MainProcess(17040):Thread-24 (15744) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/account/setting
2020-11-12 15:46:42,325 [ALERT] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:155 - Fail to access https://link.bilibili.com/p/eden/news#/?tab=live
2020-11-12 15:46:42,325 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://link.bilibili.com/p/eden/news#/newsdetail?id=1536
2020-11-12 15:46:43,344 [ALERT] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:155 - Fail to access https://account.bilibili.com/account/face
2020-11-12 15:46:43,345 [INFOR] MainProcess(17040):Thread-29 (13576) | jsfinder.find_by_url:150 - url:https://account.bilibili.com/site/nameplate.html
2020-11-12 15:46:44,486 [ALERT] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:155 - Fail to access https://ir.bilibili.com/financial-information/sec-filings
2020-11-12 15:46:44,487 [INFOR] MainProcess(17040):Thread-37 (16460) | jsfinder.find_by_url:150 - url:https://ir.bilibili.com/financial-information/quarterly-results
2020-11-12 15:46:45,362 [ALERT] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:155 - Fail to access https://link.bilibili.com/p/eden/news#/newsdetail?id=1536
2020-11-12 15:46:45,363 [INFOR] MainProcess(17040):Thread-44 (13076) | jsfinder.find_by_url:150 - url:https://link.bilibili.com/p/eden/news#/newsdetail?id=1484
2020-11-12 15:46:46,039 [INFOR] MainProcess(17040):Thread-59 (13720) | jsfinder.find_by_url_deep:234 - Remaining 8 | Find 22 URL in https://www.microsoft.com/zh-cn/p/哔哩哔哩动画-for-wp81/9wzdncrfj28k?activetab=pivot:overviewtab
